nomor_cabai,gambar,Panjang_Cabai,berat_cabai,kadar_air,label
23,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 23b_4_2.jpg,5.7,2.49,25.3,Sedang
32,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 32a_2_2.jpg,6.4,3.84,28.65,Sedang
2,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 2a_4_2.jpg,6.3,2.24,31.69,Sedang
31,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 31b_3_2.jpg,4.8,2.23,31.83,Sedang
26,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 26b_3_2.jpg,5.7,2.33,27.03,Sedang
13,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 13a_6_2.jpg,6.8,2.89,17.99,Sedang
10,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 10b_4_2.jpg,5.7,2.33,25.6,Sedang
11,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 11b_6_1.jpg,5.5,1.81,34.81,Sedang
10,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 10a_6_a.jpg,5.7,2.01,25.37,Sedang
18,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 18a_4_2.jpg,6.0,2.12,30.6,Sedang
27,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 27b_5_1.jpg,6.3,2.37,23.63,Sedang
7,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 7a_1_2.jpg,5.4,1.84,23.37,Sedang
3,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 31_6_1.jpg,6.2,2.36,18.64,Sedang
10,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 10b_4_2.jpg,5.7,2.33,25.6,Sedang
2,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 2a_4_2.jpg,6.3,2.24,31.69,Sedang
26,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 26b_4_2.jpg,5.7,2.09,18.66,Sedang
23,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 23b_3_2.jpg,5.7,2.59,28.18,Sedang
13,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 13a_4_2.jpg,6.8,3.0,21.0,Sedang
10,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 10b_5_1.jpg,5.7,2.11,28.91,Sedang
7,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 7a_1_2.jpg,5.4,1.76,19.89,Sedang
17,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 17a_5_2.jpg,5.8,2.51,24.3,Sedang
21,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 21b_1_2.jpg,7.0,3.03,31.68,Sedang
22,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 22b_6_2.jpg,4.9,1.26,46.03,Sedang
2,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 2b_3_2.jpg,6.3,2.06,25.73,Sedang
27,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 27a_4_2.jpg,6.3,2.27,20.26,Sedang
7,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 7a_0_2.jpg,5.4,1.92,26.56,Sedang
7,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 7a_1_2.jpg,5.4,1.76,19.89,Sedang
2,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 2b_3_2.jpg,6.3,2.06,25.73,Sedang
26,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 26b_4_2.jpg,5.7,2.09,18.66,Sedang
9,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 9b_5_2.jpg,6.6,2.66,36.09,Sedang
16,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 16b_6_2.jpg,5.6,2.15,27.91,Sedang
20,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 20b_5_2.jpg,7.7,3.86,20.21,Sedang
3,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 31_6_1.jpg,6.2,2.36,18.64,Sedang
14,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 14b_5_2.jpg,6.3,2.06,30.1,Sedang
28,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 28b_6_2.jpg,6.2,2.67,20.22,Sedang
9,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 9b_6_1.jpg,6.6,2.31,26.41,Sedang
10,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 10a_6_a.jpg,5.7,2.01,25.37,Sedang
7,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 7a_1_2.jpg,5.4,1.84,23.37,Sedang
10,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 10b_5_1.jpg,5.7,2.11,28.91,Sedang
6,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 6b_6_2.jpg,5.7,2.02,28.71,Sedang
29,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 29a_4_1.jpg,5.2,2.1,20.48,Sedang
25,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 25b_5_2.jpg,5.6,2.37,32.06,Sedang
6,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 6b_6_2.jpg,5.7,2.02,28.71,Sedang
28,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 28_4_2.jpg,6.2,2.77,23.1,Sedang
6,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 6b_3_1.jpg,5.7,1.82,20.88,Sedang
6,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 6b_5_1.jpg,5.7,1.91,24.61,Sedang
7,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 7b_0_2.jpg,5.4,2.0,29.5,Sedang
11,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 11b_4_2.jpg,5.5,1.9,37.8,Sedang
26,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 26b_3_2.jpg,5.7,2.33,27.03,Sedang
10,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 10b_4_2.jpg,5.7,2.33,25.6,Sedang
18,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 18a_4_2.jpg,6.0,2.12,30.6,Sedang
21,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 21b_5_2.jpg,7.0,2.78,25.54,Sedang
16,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 16b_6_2.jpg,5.6,2.15,27.91,Sedang
7,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 7a_1_2.jpg,5.4,1.84,23.37,Sedang
16,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 16b_7_2.jpg,5.6,2.04,24.02,Sedang
18,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 18b_6_1.jpg,6.0,1.85,20.54,Sedang
24,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 24b_4_2.jpg,7.0,3.09,24.92,Sedang
2,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 2a_4_2.jpg,6.3,2.24,31.69,Sedang
8,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 8b_4_2.jpg,5.5,1.85,40.54,Sedang
26,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 26b_4_2.jpg,5.7,2.25,24.44,Sedang
20,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 20b_5_2.jpg,7.7,3.72,17.2,Sedang
1,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 1b_3_2.jpg,6.0,2.06,26.69,Sedang
2,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 2b_5_1.jpg,6.3,2.14,28.5,Sedang
8,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 8b_4_2.jpg,5.5,1.85,40.54,Sedang
14,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 14a_5_2.jpg,6.3,1.95,26.15,Sedang
27,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 27a_4_2.jpg,6.3,2.27,20.26,Sedang
14,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 14a_4_2.jpg,6.3,2.25,36.0,Sedang
10,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 10b_5_1.jpg,5.7,2.11,28.91,Sedang
20,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 20a_4_2.jpg,7.7,3.99,22.81,Sedang
21,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 21b_1_2.jpg,7.0,3.03,31.68,Sedang
19,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 19b_6_1.jpg,6.0,2.15,28.84,Sedang
25,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 25b_5_2.jpg,5.6,2.37,32.06,Sedang
14,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 14a_5_2.jpg,6.3,1.95,26.15,Sedang
4,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 4a_5_1.jpg,5.5,0.9,44.44,Sedang
12,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 12b_5_2.jpg,6.0,2.01,24.87,Sedang
32,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 32b_3_2.jpg,6.4,4.03,32.1,Sedang
3,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 31_6_1.jpg,6.2,2.36,18.64,Sedang
9,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 9b_5_2.jpg,6.6,2.66,36.09,Sedang
16,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 16b_6_2.jpg,5.6,2.15,27.91,Sedang
14,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 14b_5_2.jpg,6.3,2.06,30.1,Sedang
1,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 1b_3_2.jpg,6.0,2.06,26.69,Sedang
26,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 2b_4_2.jpg,5.7,2.17,21.66,Sedang
23,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 23b_4_2.jpg,5.7,2.49,25.3,Sedang
5,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 5a_6_2.jpg,6.7,2.07,28.99,Sedang
4,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 4b_6_2.jpg,5.5,0.82,39.02,Sedang
29,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 29a_5_2.jpg,5.2,2.17,23.04,Sedang
28,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 28b_6_2.jpg,6.2,2.67,20.22,Sedang
15,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 15b_6_2.jpg,4.9,1.99,18.59,Sedang
20,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 20b_5_2.jpg,7.7,3.86,20.21,Sedang
3,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 3a_4_1.jpg,6.2,2.55,24.71,Sedang
2,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 2a_4_2.jpg,6.3,2.24,31.69,Sedang
15,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 15b_0_2.jpg,4.9,2.16,25.0,Sedang
9,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 9b_4_2.jpg,6.6,2.42,29.75,Sedang
12,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 12a_6_1.jpg,6.0,2.06,26.7,Sedang
13,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 13a_6_2.jpg,6.8,3.1,23.55,Sedang
10,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 10b_5_1.jpg,5.7,2.11,28.91,Sedang
12,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 12_5_1.jpg,6.0,1.78,15.17,Sedang
22,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 22b_6_2.jpg,4.9,1.26,46.03,Sedang
15,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 15b_4_2.jpg,4.9,2.25,28.0,Sedang
31,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 31b_6_2.jpg,4.8,2.14,28.97,Sedang
25,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 25b_5_2.jpg,5.6,2.37,32.06,Sedang
8,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 8b_4_2.jpg,5.5,1.85,40.54,Sedang
32,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 32b_2_1.jpg,6.4,3.55,22.82,Sedang
11,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 11a_7_2.jpg,5.5,1.39,15.1,Sedang
2,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 2a_4_2.jpg,6.3,2.24,31.69,Sedang
11,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 11a_4_2.jpg,5.5,1.62,27.16,Sedang
18,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 18a_6_2.jpg,6.0,1.94,24.23,Sedang
13,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 13a_4_2.jpg,6.8,3.0,21.0,Sedang
8,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 8b_4_2.jpg,5.5,1.85,40.54,Sedang
10,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 10b_5_1.jpg,5.7,2.11,28.91,Sedang
30,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 30a_2_2.jpg,4.9,2.01,18.91,Sedang
7,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 7a_1_2.jpg,5.4,1.76,19.89,Sedang
32,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 32b_3_2.jpg,6.4,4.03,32.1,Sedang
2,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 2a_4_2.jpg,6.3,2.24,31.69,Sedang
10,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 10a_6_a.jpg,5.7,2.01,25.37,Sedang
11,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 11a_7_2.jpg,5.5,1.39,15.1,Sedang
10,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 10a_6_a.jpg,5.7,2.01,25.37,Sedang
24,/content/drive/My Drive/DatasetAugmen/Segar/Cabai 24b_5_2.jpg,7.0,3.23,28.17,Sedang
25,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 25a_6_2.jpg,5.6,2.27,29.07,Sedang
32,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 32b_2_1.jpg,6.4,3.55,22.82,Sedang
12,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 12_5_1.jpg,6.0,1.78,15.17,Sedang
9,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 9b_5_2.jpg,6.6,2.66,36.09,Sedang
31,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 31a_4_2.jpg,4.8,1.94,21.65,Sedang
1,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 1b_5_2.jpg,6.0,1.92,21.35,Sedang
2,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 2a_4_2.jpg,6.3,2.24,31.69,Sedang
16,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 16b_5_2.jpg,5.6,2.27,31.72,Sedang
13,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 13a_6_2.jpg,6.8,3.1,23.55,Sedang
2,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 2b_3_2.jpg,6.3,2.06,25.73,Sedang
9,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 9b_6_1.jpg,6.6,2.31,26.41,Sedang
15,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 15b_5_2.jpg,4.9,2.09,22.49,Sedang
23,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 23b_6_2.jpg,5.7,2.3,19.13,Sedang
17,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 17a_4_2.jpg,5.8,2.61,27.2,Sedang
17,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 17a_5_2.jpg,5.8,2.51,24.3,Sedang
24,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 24b_5_2.jpg,7.0,2.95,21.36,Sedang
31,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 31b_6_2.jpg,4.8,2.14,28.97,Sedang
20,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 20b_5_2.jpg,7.7,3.72,17.2,Sedang
25,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 25b_3_2.jpg,5.6,2.17,25.81,Sedang
8,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 8b_6_1.jpg,5.5,1.74,36.78,Sedang
4,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 4b_6_2.jpg,5.5,0.82,39.02,Sedang
8,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 8a_6_2.jpg,5.5,1.63,32.52,Sedang
31,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 31a_4_2.jpg,4.8,1.94,21.65,Sedang
10,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 10a_5_1.jpg,5.7,2.22,32.43,Sedang
28,/content/drive/My Drive/DatasetAugmen/Segar/Cabai 28_6_1.jpg,6.2,2.58,17.44,Sedang
32,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 32b_2_1.jpg,6.4,3.55,22.82,Sedang
19,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 19b_6_2.jpg,6.0,2.26,32.3,Sedang
25,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 25b_3_2.jpg,5.6,2.17,25.81,Sedang
7,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 7b_0_2.jpg,5.4,2.0,29.5,Sedang
16,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 16b_5_2.jpg,5.6,2.27,31.72,Sedang
9,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 9b_4_2.jpg,6.6,2.42,29.75,Sedang
25,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 25b_5_2.jpg,5.6,2.37,32.06,Sedang
11,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 11a_5_2.jpg,5.5,1.72,31.4,Sedang
3,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 3a_4_1.jpg,6.2,2.55,24.71,Sedang
29,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 29a_6_2.jpg,5.2,2.01,16.92,Sedang
21,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 21b_5_2.jpg,7.0,2.78,25.54,Sedang
21,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 21b_1_2.jpg,7.0,3.03,31.68,Sedang
29,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 29a_5_2.jpg,5.2,2.17,23.04,Sedang
25,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 25a_6_2.jpg,5.6,2.27,29.07,Sedang
24,/content/drive/My Drive/DatasetAugmen/Segar/Cabai 24b_5_2.jpg,7.0,3.37,31.15,Sedang
13,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 13a_4_2.jpg,6.8,3.0,21.0,Sedang
19,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 19b_6_2.jpg,6.0,2.26,32.3,Sedang
24,/content/drive/My Drive/DatasetAugmen/Segar/Cabai 24b_5_2.jpg,7.0,3.23,28.17,Sedang
14,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 14a_5_2.jpg,6.3,1.95,26.15,Sedang
31,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 31a_7_2.jpg,4.8,2.04,25.49,Sedang
21,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 21b_6_2.jpg,7.0,2.66,22.18,Sedang
31,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 31a_7_2.jpg,4.8,2.04,25.49,Sedang
18,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 18a_4_2.jpg,6.0,2.12,30.6,Sedang
9,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 9b_4_2.jpg,6.6,2.42,29.75,Sedang
26,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 2b_4_2.jpg,5.7,2.17,21.66,Sedang
14,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 14b_5_2.jpg,6.3,2.06,30.1,Sedang
9,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 9b_6_1.jpg,6.6,2.31,26.41,Sedang
23,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 23b_6_2.jpg,5.7,2.3,19.13,Sedang
7,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 7a_1_2.jpg,5.4,1.84,23.37,Sedang
24,/content/drive/My Drive/DatasetAugmen/Segar/Cabai 24b_5_2.jpg,7.0,3.23,28.17,Sedang
22,/content/drive/My Drive/DatasetAugmen/Segar/Cabai 22b_6_2.jpg,4.9,1.38,25.07,Sedang
11,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 11b_4_2.jpg,5.5,1.9,37.8,Sedang
21,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 21b_5_2.jpg,7.0,2.78,25.54,Sedang
27,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 27b_5_1.jpg,6.3,2.37,23.63,Sedang
27,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 27a_4_2.jpg,6.3,2.27,20.26,Sedang
10,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 10a_6_a.jpg,5.7,2.01,25.37,Sedang
24,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 24b_5_2.jpg,7.0,2.95,21.36,Sedang
18,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 18b_6_1.jpg,6.0,1.85,20.54,Sedang
27,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 27b_4_2.jpg,6.3,2.56,29.29,Sedang
32,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 32b_6_2.jpg,6.4,3.5,21.71,Sedang
8,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 8b_6_1.jpg,5.5,1.74,36.78,Sedang
15,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 15b_5_2.jpg,4.9,2.09,22.49,Sedang
22,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 22b_6_2.jpg,4.9,1.26,46.03,Sedang
1,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 1a_4_1.jpg,6.0,1.85,18.38,Sedang
23,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 23b_5_2.jpg,5.7,2.39,22.18,Sedang
11,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 11a_7_2.jpg,5.5,1.39,15.1,Sedang
12,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 12a_4_2.jpg,6.0,1.97,23.35,Sedang
13,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 13a_6_2.jpg,6.8,3.1,23.55,Sedang
5,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 5a_6_2.jpg,6.7,1.98,25.76,Sedang
32,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 32b_2_1.jpg,6.4,3.55,22.82,Sedang
28,/content/drive/My Drive/DatasetAugmen/Segar/Cabai 28_6_1.jpg,6.2,2.58,17.44,Sedang
20,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 20a_4_2.jpg,7.7,3.99,22.81,Sedang
3,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 3a_4_1.jpg,6.2,2.64,27.27,Sedang
6,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 6b_5_1.jpg,5.7,1.91,24.61,Sedang
31,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 31a_4_2.jpg,4.8,1.94,21.65,Sedang
10,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 10a_5_1.jpg,5.7,2.22,32.43,Sedang
24,/content/drive/My Drive/DatasetAugmen/Segar/Cabai 24b_5_2.jpg,7.0,3.37,31.15,Sedang
24,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 24b_5_2.jpg,7.0,2.95,21.36,Sedang
21,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 21b_4_2.jpg,7.0,2.9,28.62,Sedang
23,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 23b_3_2.jpg,5.7,2.59,28.18,Sedang
16,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 16b_3_2.jpg,5.6,2.39,35.1,Sedang
16,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 16b_7_2.jpg,5.6,2.04,24.02,Sedang
3,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 3a_4_1.jpg,6.2,2.55,24.71,Sedang
24,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 24b_5_2.jpg,7.0,2.95,21.36,Sedang
23,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 23b_4_2.jpg,5.7,2.49,25.3,Sedang
7,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 7a_1_2.jpg,5.4,1.76,19.89,Sedang
11,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 11a_4_2.jpg,5.5,1.62,27.16,Sedang
31,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 31a_7_2.jpg,4.8,2.04,25.49,Sedang
30,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 30b_4_2.jpg,4.9,2.18,25.23,Sedang
30,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 30b_6_2.jpg,4.9,2.09,22.01,Sedang
9,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 9b_5_2.jpg,6.6,2.66,36.09,Sedang
1,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 1b_4_2.jpg,6.0,1.99,24.12,Sedang
16,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 16b_6_2.jpg,5.6,2.15,27.91,Sedang
24,/content/drive/My Drive/DatasetAugmen/Segar/Cabai 24b_5_2.jpg,7.0,3.23,28.17,Sedang
27,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 27b_5_1.jpg,6.3,2.37,23.63,Sedang
15,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 15b_5_2.jpg,4.9,2.09,22.49,Sedang
3,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 31_6_1.jpg,6.2,2.36,18.64,Sedang
11,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 11b_4_2.jpg,5.5,1.9,37.8,Sedang
8,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 8b_4_2.jpg,5.5,1.85,40.54,Sedang
18,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 18b_5_2.jpg,6.0,2.02,27.23,Sedang
24,/content/drive/My Drive/DatasetAugmen/Segar/Cabai 24b_5_2.jpg,7.0,3.23,28.17,Sedang
26,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 26b_4_2.jpg,5.7,2.09,18.66,Sedang
11,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 11a_7_2.jpg,5.5,1.39,15.1,Sedang
26,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 26b_4_2.jpg,5.7,2.09,18.66,Sedang
7,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 7a_1_2.jpg,5.4,1.76,19.89,Sedang
31,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 31b_3_2.jpg,4.8,2.23,31.83,Sedang
5,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 5b_4_2.jpg,6.7,2.17,32.25,Sedang
4,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 4b_6_2.jpg,5.5,1.05,52.38,Sedang
13,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 13a_6_2.jpg,6.8,2.89,17.99,Sedang
6,/content/drive/My Drive/DatasetAugmen/Sedang/Cabai 6b_5_1.jpg,5.7,1.91,24.61,Sedang
